RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,BUILDING AGE,SALE_YEAR,SALE_MONTH,TOTAL SQUARE FEET,SALE YEAR,SALE MONTH,SALE DAY
5,0,5,1633.0,6440.0,1900,2,6625000.0,123,2017,7,16336440.0,2017,7,19
10,0,10,2272.0,6794.0,1913,2,3936272.0,110,2016,9,22726794.0,2016,9,23
6,0,6,2369.0,4615.0,1900,2,8000000.0,123,2016,11,23694615.0,2016,11,17
8,0,8,1750.0,4226.0,1920,2,3192840.0,103,2016,9,17504226.0,2016,9,23
24,0,24,4489.0,18523.0,1920,2,16232000.0,103,2016,11,448918523.0,2016,11,7
10,0,10,3717.0,12350.0,2009,2,10350000.0,14,2016,10,371712350.0,2016,10,17
24,0,24,4131.0,16776.0,1928,2,11900000.0,95,2017,6,413116776.0,2017,6,21
3,1,4,1520.0,3360.0,1910,2,3300000.0,113,2016,11,15203360.0,2016,11,15
4,1,5,2201.0,5608.0,1900,2,7215000.0,123,2017,1,22015608.0,2017,1,30
5,1,6,1779.0,3713.0,1910,2,4750000.0,113,2017,4,17793713.0,2017,4,3
0,1,1,1218.0,3586.0,1899,4,3700000.0,124,2016,9,12183586.0,2016,9,28
1,0,1,1975.0,3855.0,1901,1,7425000.0,122,2016,12,19753855.0,2016,12,30
1,0,1,1588.0,5653.0,1900,1,10.0,123,2017,1,15885653.0,2017,1,30
1,0,1,1588.0,5653.0,1900,1,10.0,123,2017,1,15885653.0,2017,1,30
1,0,1,1588.0,5653.0,1900,1,10.0,123,2017,1,15885653.0,2017,1,30
2,1,3,2150.0,4978.0,1920,1,7750000.0,103,2017,4,21504978.0,2017,4,17
3,0,3,2469.0,3725.0,1901,1,8300000.0,122,2017,2,24693725.0,2017,2,2
6,1,7,1463.0,3762.0,1901,2,16000000.0,122,2016,9,14633762.0,2016,9,8
4,0,4,2057.0,2890.0,1910,2,5950000.0,113,2016,10,20572890.0,2016,10,26
24,0,24,2307.0,4500.0,1900,2,7375000.0,123,2017,2,23074500.0,2017,2,6
4,0,4,2057.0,3042.0,1900,2,8000000.0,123,2017,2,20573042.0,2017,2,6
22,2,24,2581.0,13056.0,1901,2,14100000.0,122,2017,3,258113056.0,2017,3,23
9,0,9,1566.0,6330.0,1901,2,1583840.0,122,2017,8,15666330.0,2017,8,31
9,0,9,1566.0,6330.0,1901,2,416790.0,122,2017,8,15666330.0,2017,8,31
9,0,9,1566.0,6330.0,1901,2,630370.0,122,2017,8,15666330.0,2017,8,31
9,0,9,2029.0,8540.0,1920,2,29400000.0,103,2016,11,20298540.0,2016,11,10
8,1,9,2581.0,7650.0,1920,2,6450000.0,103,2017,2,25817650.0,2017,2,2
15,1,16,2077.0,6335.0,1901,2,5500000.0,122,2017,2,20776335.0,2017,2,2
8,1,9,1952.0,5955.0,1920,2,5750000.0,103,2017,2,19525955.0,2017,2,2
8,0,8,2000.0,4100.0,1910,2,3485000.0,113,2016,12,20004100.0,2016,12,5
6,1,7,2469.0,19892.0,2014,2,4600000.0,9,2016,11,246919892.0,2016,11,29
30,2,32,10053.0,78882.0,2014,2,2341975.0,9,2016,10,1005378882.0,2016,10,28
24,0,24,4600.0,12200.0,1850,2,282000.0,173,2016,10,460012200.0,2016,10,19
4,1,5,1875.0,5225.0,1910,2,10581818.0,113,2016,11,18755225.0,2016,11,4
3,1,4,1146.0,3339.0,1910,2,10.0,113,2017,1,11463339.0,2017,1,27
4,2,6,2500.0,4447.0,1910,2,8250000.0,113,2016,12,25004447.0,2016,12,16
0,3,3,1360.0,4080.0,1900,4,17300000.0,123,2017,6,13604080.0,2017,6,30
1,1,1,6468.0,14056.0,1953,4,42400000.0,70,2017,4,646814056.0,2017,4,18
0,13,13,9875.0,113062.0,1906,4,150000000.0,117,2016,12,9875113062.0,2016,12,16
0,5,5,2469.0,10250.0,1930,4,10150000.0,93,2017,7,246910250.0,2017,7,17
0,1,1,3950.0,7900.0,2013,4,10750000.0,10,2016,12,39507900.0,2016,12,28
0,1,1,1675.0,3909.0,1910,4,8818181.0,113,2016,11,16753909.0,2016,11,4
0,1,1,3800.0,3800.0,1910,4,20000000.0,113,2017,6,38003800.0,2017,6,27
0,4,4,19750.0,39500.0,1932,4,107250000.0,91,2017,8,1975039500.0,2017,8,8
2,2,4,1586.0,4271.0,1920,4,10600000.0,103,2017,4,15864271.0,2017,4,18
1,5,6,1878.0,11250.0,1910,4,10500000.0,113,2016,9,187811250.0,2016,9,30
0,3,3,1852.0,3980.0,1920,4,9174156.0,103,2017,1,18523980.0,2017,1,18
0,19,19,4937.0,45449.0,1921,4,33000000.0,102,2017,2,493745449.0,2017,2,1
0,1,1,9826.0,122236.0,2010,4,139725000.0,13,2016,12,9826122236.0,2016,12,5
0,1,1,2271.0,5260.0,1900,4,4300000.0,123,2017,7,22715260.0,2017,7,12
0,10,10,17281.0,170750.0,1900,4,92007576.0,123,2016,10,17281170750.0,2016,10,28
0,1,1,12343.0,21183.0,1920,4,50350000.0,103,2016,11,1234321183.0,2016,11,3
35,0,35,2496.0,5802.0,1920,4,7995000.0,103,2017,7,24965802.0,2017,7,31
11,3,14,2380.0,7946.0,1915,2,8275000.0,108,2016,11,23807946.0,2016,11,16
28,2,30,5029.0,21274.0,1918,2,4250000.0,105,2017,2,502921274.0,2017,2,16
6,1,7,2500.0,9835.0,1890,2,10.0,133,2017,1,25009835.0,2017,1,17
0,2,2,3597.0,21582.0,1920,4,19000000.0,103,2016,9,359721582.0,2016,9,29
0,14,14,2830.0,14250.0,1915,4,9375000.0,108,2016,9,283014250.0,2016,9,16
1,3,4,892.0,1784.0,1920,4,3000000.0,103,2017,7,8921784.0,2017,7,31
2,2,4,1360.0,3274.0,1920,4,4350000.0,103,2017,5,13603274.0,2017,5,30
0,2,2,1098.0,2712.0,1915,4,2700000.0,108,2017,1,10982712.0,2017,1,5
0,1,1,2450.0,8550.0,1910,4,6780000.0,113,2017,8,24508550.0,2017,8,24
0,8,8,3465.0,20968.0,1900,4,15500000.0,123,2016,12,346520968.0,2016,12,20
7,1,8,2633.0,12000.0,1915,2,141500000.0,108,2017,7,263312000.0,2017,7,13
6,1,7,4400.0,21840.0,1915,2,15000000.0,108,2017,5,440021840.0,2017,5,19
18,1,19,3828.0,24423.0,1920,2,21250000.0,103,2017,5,382824423.0,2017,5,25
5,1,6,1877.0,8885.0,1915,2,10725000.0,108,2017,5,18778885.0,2017,5,15
0,5,5,4764.0,20700.0,1920,4,17850000.0,103,2017,7,476420700.0,2017,7,27
0,5,5,4764.0,20700.0,1920,4,3150000.0,103,2017,7,476420700.0,2017,7,27
0,6,6,2536.0,11000.0,1915,4,11500000.0,108,2017,1,253611000.0,2017,1,25
8,0,8,2008.0,4000.0,1920,2,10.0,103,2016,10,20084000.0,2016,10,6
10,0,10,2510.0,8175.0,1901,2,3100000.0,122,2017,6,25108175.0,2017,6,28
12,0,12,2510.0,8175.0,1901,2,12400000.0,122,2017,6,25108175.0,2017,6,28
5,0,5,2092.0,4120.0,1920,2,7000000.0,103,2017,7,20924120.0,2017,7,18
16,2,18,3333.0,12330.0,1910,2,11500000.0,113,2017,3,333312330.0,2017,3,7
12,0,12,2502.0,9625.0,1910,2,11435000.0,113,2017,1,25029625.0,2017,1,18
11,1,12,2508.0,10035.0,1901,2,10.0,122,2016,10,250810035.0,2016,10,6
12,1,13,2508.0,10035.0,1901,2,10.0,122,2016,10,250810035.0,2016,10,6
7,0,7,2410.0,10119.0,2016,2,15093194.0,7,2017,5,241010119.0,2017,5,31
0,1,1,5021.0,2875.0,1940,4,21500000.0,83,2017,7,50212875.0,2017,7,18
0,2,2,7531.0,15062.0,1940,4,18500000.0,83,2017,1,753115062.0,2017,1,20
0,2,2,5021.0,8848.0,1910,4,8010000.0,113,2017,3,50218848.0,2017,3,17
0,2,2,2510.0,336.0,1998,4,4700000.0,25,2017,2,2510336.0,2017,2,1
2,1,3,1200.0,3360.0,1900,1,3000000.0,123,2017,8,12003360.0,2017,8,31
2,1,3,1280.0,5920.0,1899,1,6800000.0,124,2017,1,12805920.0,2017,1,23
2,0,2,1275.0,2640.0,1899,1,4000000.0,124,2017,6,12752640.0,2017,6,8
28,2,30,4545.0,20225.0,1900,2,13835000.0,123,2017,1,454520225.0,2017,1,10
20,0,20,4163.0,9187.0,1920,2,5292000.0,103,2017,5,41639187.0,2017,5,11
21,0,21,2144.0,7495.0,1920,2,5381394.0,103,2016,9,21447495.0,2016,9,23
24,0,24,2425.0,7000.0,1900,2,6354000.0,123,2017,5,24257000.0,2017,5,11
24,0,24,2425.0,7000.0,1900,2,6354000.0,123,2017,5,24257000.0,2017,5,11
24,0,24,2271.0,10092.0,1910,2,10.0,113,2016,12,227110092.0,2016,12,16
19,1,20,2437.0,10905.0,1900,2,12326000.0,123,2016,11,243710905.0,2016,11,17
24,2,26,2369.0,10470.0,1900,2,10025000.0,123,2016,11,236910470.0,2016,11,17
11,1,12,1840.0,7692.0,1900,2,8300000.0,123,2016,10,18407692.0,2016,10,28
48,0,48,8904.0,25610.0,1920,2,30449204.0,103,2017,8,890425610.0,2017,8,8
4,2,6,1240.0,5080.0,1900,2,5825000.0,123,2017,3,12405080.0,2017,3,9
2,2,4,3334.0,14131.0,1920,4,9100000.0,103,2016,9,333414131.0,2016,9,16
2,1,3,2277.0,5794.0,1900,4,4550000.0,123,2017,2,22775794.0,2017,2,13
22,2,24,2460.0,11538.0,1920,2,11000000.0,103,2017,2,246011538.0,2017,2,6
4,3,7,1781.0,4988.0,1915,2,12750000.0,108,2017,2,17814988.0,2017,2,6
0,35,35,9875.0,145372.0,1924,4,108000000.0,99,2016,12,9875145372.0,2016,12,20
0,55,55,30750.0,645977.0,1969,4,565000000.0,54,2016,11,30750645977.0,2016,11,1
0,17,17,5925.0,64300.0,1911,4,54000000.0,112,2016,10,592564300.0,2016,10,27
0,12,12,4937.0,55473.0,1926,4,1161500.0,97,2017,7,493755473.0,2017,7,21
0,12,12,7266.0,81375.0,1907,4,5000000.0,116,2017,2,726681375.0,2017,2,9
0,15,15,6994.0,79465.0,1913,4,220000.0,110,2016,12,699479465.0,2016,12,19
0,1,1,7406.0,81000.0,2007,4,105592700.0,16,2017,8,740681000.0,2017,8,16
0,1,1,7406.0,177000.0,2010,4,128177800.0,13,2016,9,7406177000.0,2016,9,29
529,9,538,19011.0,473391.0,1929,4,212500000.0,94,2016,12,19011473391.0,2016,12,20
0,1,1,7406.0,122859.0,2008,4,139657500.0,15,2016,12,7406122859.0,2016,12,5
0,9,9,4938.0,80185.0,1913,4,51000000.0,110,2017,8,493880185.0,2017,8,30
0,2,2,2279.0,4554.0,1930,4,16540319.0,93,2016,12,22794554.0,2016,12,29
476,6,482,17623.0,400531.0,1929,2,239114603.0,94,2016,9,17623400531.0,2016,9,30
317,6,323,12127.0,303175.0,1921,2,182391612.0,102,2016,9,12127303175.0,2016,9,30
0,1,1,42762.0,993569.0,1983,4,652000000.0,40,2017,5,42762993569.0,2017,5,24
0,23,23,27600.0,566858.0,1973,4,3288000.0,50,2017,7,27600566858.0,2017,7,18
0,1,1,53632.0,1617206.0,1987,4,1040000000.0,36,2017,1,5.3632211,2017,1,24
0,52,52,20684.0,527605.0,1912,4,54052917.0,111,2017,8,20684527605.0,2017,8,25
0,5,5,4782.0,21520.0,1948,4,12500000.0,75,2017,8,478221520.0,2017,8,24
0,1,1,6834.0,143730.0,2007,4,100107200.0,16,2016,9,6834143730.0,2016,9,29
0,318,318,6109.0,130054.0,2014,4,203345000.0,9,2016,12,6109130054.0,2016,12,22
0,2,2,6497.0,119467.0,1902,4,93550000.0,121,2017,1,6497119467.0,2017,1,9
0,3,3,5646.0,74863.0,1900,4,51100000.0,123,2016,10,564674863.0,2016,10,7
15,1,16,4600.0,30680.0,1900,2,489854.0,123,2017,1,460030680.0,2017,1,27
15,1,16,4600.0,30680.0,1900,2,576299.0,123,2017,1,460030680.0,2017,1,27
4,1,5,1392.0,5118.0,1910,2,6625000.0,113,2016,10,13925118.0,2016,10,14
0,15,15,9876.0,106800.0,1910,4,126000000.0,113,2017,7,9876106800.0,2017,7,13
0,9,9,2450.0,22512.0,1912,4,26500000.0,111,2016,11,245022512.0,2016,11,21
0,35,35,11553.0,217991.0,1913,4,1159531.0,110,2016,12,11553217991.0,2016,12,20
0,1,1,2711.0,9798.0,1913,4,29500000.0,110,2017,1,27119798.0,2017,1,11
0,3,3,2127.0,4432.0,1950,4,13500000.0,73,2017,4,21274432.0,2017,4,24
0,4,4,987.0,3780.0,1915,4,4650000.0,108,2017,5,9873780.0,2017,5,22
2,1,3,2300.0,6720.0,1920,1,5300000.0,103,2017,8,23006720.0,2017,8,3
2,0,2,1407.0,3080.0,1910,1,3700000.0,113,2017,8,14073080.0,2017,8,14
2,0,2,1750.0,3880.0,1901,1,7350000.0,122,2016,11,17503880.0,2016,11,9
2,0,2,1619.0,2520.0,1910,1,7000000.0,113,2017,4,16192520.0,2017,4,14
3,0,3,2912.0,6496.0,1925,1,13500000.0,98,2017,6,29126496.0,2017,6,15
6,0,6,2888.0,7800.0,1900,2,23094093.0,123,2017,5,28887800.0,2017,5,18
11,1,12,1488.0,8888.0,2000,2,10.0,23,2017,4,14888888.0,2017,4,7
9,1,10,2633.0,8689.0,1910,2,10.0,113,2017,1,26338689.0,2017,1,2
4,1,5,2116.0,6932.0,1920,2,8700000.0,103,2016,12,21166932.0,2016,12,22
20,0,20,2469.0,9625.0,1920,2,13100000.0,103,2016,12,24699625.0,2016,12,6
28,3,31,3703.0,17569.0,1920,2,19000000.0,103,2017,7,370317569.0,2017,7,27
14,1,15,1975.0,15800.0,1905,2,11800000.0,118,2016,10,197515800.0,2016,10,7
3,1,4,2300.0,6808.0,1920,2,7700000.0,103,2016,12,23006808.0,2016,12,21
0,2,2,2568.0,7012.0,1910,4,15000000.0,113,2016,12,25687012.0,2016,12,29
0,6,6,3216.0,37025.0,1914,4,52400621.0,109,2017,6,321637025.0,2017,6,12
1,1,2,1350.0,5807.0,1900,1,9999999.0,123,2016,11,13505807.0,2016,11,22
1,0,1,2002.0,3556.0,1899,1,12500000.0,124,2016,9,20023556.0,2016,9,9
1,0,1,2252.0,3960.0,1899,1,14000000.0,124,2017,6,22523960.0,2017,6,22
1,0,1,2138.0,7000.0,1900,1,20650000.0,123,2016,9,21387000.0,2016,9,19
1,0,1,1976.0,6202.0,1900,1,21000000.0,123,2017,6,19766202.0,2017,6,6
1,1,2,2085.0,4488.0,1899,1,11800000.0,124,2016,10,20854488.0,2016,10,7
1,0,1,1996.0,3200.0,1901,1,9500000.0,122,2017,7,19963200.0,2017,7,7
2,1,3,1580.0,3902.0,1901,1,5250000.0,122,2017,1,15803902.0,2017,1,4
2,1,3,1983.0,3864.0,1899,1,10500000.0,124,2017,8,19833864.0,2017,8,1
3,0,3,2306.0,4321.0,1901,1,10182500.0,122,2017,1,23064321.0,2017,1,11
42,0,42,3731.0,15925.0,1880,2,22112000.0,143,2017,7,373115925.0,2017,7,5
22,0,22,2500.0,11046.0,1900,2,10.0,123,2017,2,250011046.0,2017,2,27
107,0,107,10344.0,61612.0,1900,2,72200000.0,123,2016,11,1034461612.0,2016,11,21
5,0,5,1565.0,4060.0,1900,2,10250000.0,123,2017,6,15654060.0,2017,6,28
19,0,19,2452.0,8628.0,1900,2,8500000.0,123,2016,9,24528628.0,2016,9,15
31,5,36,6950.0,30858.0,1920,2,25001000.0,103,2017,4,695030858.0,2017,4,29
36,0,36,4171.0,27184.0,1912,2,37750000.0,111,2017,5,417127184.0,2017,5,18
4,1,5,2140.0,5040.0,1900,2,9167000.0,123,2017,4,21405040.0,2017,4,18
0,15,15,8175.0,114000.0,1900,4,109000000.0,123,2016,11,8175114000.0,2016,11,21
0,6,6,25297.0,151541.0,1930,4,153000000.0,93,2017,1,25297151541.0,2017,1,10
5,2,7,2270.0,13230.0,1910,4,3781000.0,113,2016,9,227013230.0,2016,9,27
0,2,2,1852.0,5003.0,1901,4,9300000.0,122,2016,10,18525003.0,2016,10,26
0,1,1,7742.0,54328.0,1900,4,32250000.0,123,2016,10,774254328.0,2016,10,14
1,0,1,1640.0,2400.0,1901,1,7800000.0,122,2017,8,16402400.0,2017,8,15
1,0,1,384.0,1152.0,1901,1,1375000.0,122,2016,10,3841152.0,2016,10,7
1,0,1,384.0,1152.0,1901,1,1375000.0,122,2016,10,3841152.0,2016,10,7
1,1,2,925.0,2337.0,1910,1,4065000.0,113,2017,8,9252337.0,2017,8,3
1,0,1,1764.0,4073.0,1910,1,19000000.0,113,2017,5,17644073.0,2017,5,2
1,1,2,1425.0,3040.0,1899,1,11139450.0,124,2017,3,14253040.0,2017,3,9
1,1,2,757.0,1854.0,1900,1,5550000.0,123,2017,7,7571854.0,2017,7,12
2,1,3,1750.0,3480.0,1900,1,6800000.0,123,2016,11,17503480.0,2016,11,16
2,1,3,1368.0,4200.0,1920,1,9750000.0,103,2017,4,13684200.0,2017,4,13
2,1,3,1200.0,2680.0,1910,1,5570000.0,113,2017,1,12002680.0,2017,1,30
2,0,2,1606.0,4538.0,1920,1,9600000.0,103,2017,8,16064538.0,2017,8,23
2,0,2,2581.0,6925.0,1899,1,14000000.0,124,2017,1,25816925.0,2017,1,18
2,0,2,943.0,2684.0,1899,1,3950000.0,124,2017,8,9432684.0,2017,8,25
2,0,2,1905.0,3600.0,1905,1,15000000.0,118,2017,7,19053600.0,2017,7,27
2,1,3,950.0,2334.0,1901,1,8900000.0,122,2016,9,9502334.0,2016,9,15
2,0,2,840.0,2160.0,1899,1,7000000.0,124,2017,3,8402160.0,2017,3,10
2,0,2,1672.0,3700.0,1899,1,7400000.0,124,2017,1,16723700.0,2017,1,24
3,0,3,1900.0,3760.0,1899,1,11300000.0,124,2017,4,19003760.0,2017,4,19
3,0,3,2996.0,5750.0,1910,1,27400000.0,113,2017,2,29965750.0,2017,2,27
5,0,5,2171.0,3524.0,1900,2,313000.0,123,2017,5,21713524.0,2017,5,23
4,0,4,2395.0,2395.0,1915,2,6500000.0,108,2017,6,23952395.0,2017,6,6
24,1,25,3982.0,16800.0,1900,2,18000000.0,123,2017,7,398216800.0,2017,7,20
10,0,10,2090.0,4884.0,1910,2,7500000.0,113,2017,2,20904884.0,2017,2,23
11,0,11,1825.0,7145.0,1900,2,6260000.0,123,2017,3,18257145.0,2017,3,31
34,0,34,3587.0,13341.0,1910,2,15700000.0,113,2016,10,358713341.0,2016,10,19
10,0,10,1750.0,6925.0,1900,2,10.0,123,2016,10,17506925.0,2016,10,6
33,4,37,4825.0,20073.0,1905,2,21000000.0,118,2017,8,482520073.0,2017,8,10
7,0,7,1905.0,4040.0,1910,2,9000000.0,113,2016,12,19054040.0,2016,12,14
24,0,24,4750.0,19888.0,1905,2,18000000.0,118,2017,4,475019888.0,2017,4,28
36,0,36,5518.0,22686.0,1910,2,20000000.0,113,2017,6,551822686.0,2017,6,23
11,0,11,2250.0,9550.0,1930,2,12750000.0,93,2017,4,22509550.0,2017,4,20
35,1,36,5000.0,25614.0,1910,2,31000000.0,113,2017,3,500025614.0,2017,3,3
10,0,10,1525.0,6155.0,1910,2,10.0,113,2016,10,15256155.0,2016,10,6
74,2,76,3427.0,47808.0,1929,2,12576515.0,94,2017,1,342747808.0,2017,1,18
21,6,27,3862.0,17826.0,1940,2,24991000.0,83,2017,7,386217826.0,2017,7,10
5,1,6,1995.0,5985.0,1900,2,14000000.0,123,2016,9,19955985.0,2016,9,26
0,11,11,20019.0,154328.0,1911,4,205961801.0,112,2017,4,20019154328.0,2017,4,5
0,1,1,2692.0,5400.0,1967,4,10200000.0,56,2017,8,26925400.0,2017,8,4
0,2,2,4067.0,4550.0,1920,4,6800000.0,103,2017,8,40674550.0,2017,8,4
2,1,3,2090.0,4224.0,1880,4,6856750.0,143,2016,9,20904224.0,2016,9,14
0,1,1,5010.0,29967.0,1920,4,29163200.0,103,2017,6,501029967.0,2017,6,16
1,0,1,1549.0,3036.0,1910,1,2300000.0,113,2016,11,15493036.0,2016,11,30
1,0,1,1665.0,3200.0,1910,1,1510000.0,113,2017,1,16653200.0,2017,1,3
1,0,1,1699.0,3620.0,1910,1,3050000.0,113,2017,1,16993620.0,2017,1,31
1,0,1,1699.0,3536.0,1901,1,1595790.0,122,2017,8,16993536.0,2017,8,31
1,0,1,1488.0,3951.0,1899,1,2200000.0,124,2017,3,14883951.0,2017,3,30
1,0,1,1431.0,3591.0,1899,1,2100000.0,124,2017,7,14313591.0,2017,7,6
1,0,1,2000.0,3371.0,1899,1,3200000.0,124,2017,8,20003371.0,2017,8,7
1,0,1,1900.0,4122.0,1899,1,3535000.0,124,2017,3,19004122.0,2017,3,22
1,0,1,2000.0,3360.0,1899,1,1000000.0,124,2016,9,20003360.0,2016,9,29
2,0,2,2220.0,5138.0,1899,1,1386200.0,124,2017,3,22205138.0,2017,3,24
2,0,2,2498.0,3000.0,1909,1,3750000.0,114,2017,6,24983000.0,2017,6,5
2,0,2,1686.0,3416.0,1900,1,2450000.0,123,2017,1,16863416.0,2017,1,30
2,0,2,1231.0,3240.0,1899,1,1550000.0,124,2017,3,12313240.0,2017,3,30
2,0,2,1615.0,3328.0,1998,1,2800000.0,25,2016,11,16153328.0,2016,11,16
2,0,2,1817.0,5004.0,1900,1,3500000.0,123,2017,2,18175004.0,2017,2,8
2,1,3,2377.0,4002.0,1910,1,3650000.0,113,2017,2,23774002.0,2017,2,17
2,0,2,1799.0,3600.0,1899,1,1670000.0,124,2017,2,17993600.0,2017,2,8
2,0,2,1799.0,3600.0,1899,1,1310000.0,124,2016,11,17993600.0,2016,11,16
2,0,2,1665.0,3460.0,1914,1,2175000.0,109,2017,6,16653460.0,2017,6,21
2,0,2,1749.0,2625.0,1910,1,850000.0,113,2017,3,17492625.0,2017,3,27
2,0,2,1599.0,3200.0,1899,1,2000000.0,124,2016,12,15993200.0,2016,12,7
2,0,2,1615.0,3840.0,1899,1,500000.0,124,2016,12,16153840.0,2016,12,5
2,0,2,1598.0,2340.0,1899,1,2460000.0,124,2017,5,15982340.0,2017,5,17
2,0,2,1699.0,4000.0,1910,1,2950000.0,113,2016,9,16994000.0,2016,9,23
2,0,2,1472.0,3400.0,1901,1,1550000.0,122,2016,9,14723400.0,2016,9,22
2,0,2,1499.0,3000.0,1899,1,1625000.0,124,2017,4,14993000.0,2017,4,20
2,0,2,756.0,4320.0,1901,1,3450000.0,122,2017,3,7564320.0,2017,3,31
2,0,2,1343.0,3400.0,1899,1,2000000.0,124,2017,6,13433400.0,2017,6,6
2,0,2,3033.0,8100.0,1910,1,4300000.0,113,2017,8,30338100.0,2017,8,10
3,0,3,1615.0,3328.0,1909,1,1730000.0,114,2017,5,16153328.0,2017,5,30
3,0,3,1998.0,3054.0,1910,1,2685000.0,113,2016,9,19983054.0,2016,9,19
3,0,3,1873.0,3046.0,1909,1,2505000.0,114,2017,3,18733046.0,2017,3,27
3,0,3,1699.0,2852.0,1900,1,1980000.0,123,2016,9,16992852.0,2016,9,15
3,0,3,1817.0,3600.0,1910,1,3250000.0,113,2016,12,18173600.0,2016,12,14
3,0,3,1699.0,2646.0,1910,1,2390000.0,113,2017,8,16992646.0,2017,8,11
3,0,3,1699.0,2596.0,1910,1,60000.0,113,2017,6,16992596.0,2017,6,16
3,0,3,2495.0,3335.0,2000,1,2200000.0,23,2016,10,24953335.0,2016,10,13
3,0,3,1665.0,3332.0,1910,1,2675000.0,113,2016,12,16653332.0,2016,12,14
3,0,3,1699.0,3400.0,1910,1,1925000.0,113,2017,6,16993400.0,2017,6,27
3,0,3,1699.0,3400.0,1910,1,1700000.0,113,2017,1,16993400.0,2017,1,17
3,0,3,1824.0,3320.0,2000,1,1920000.0,23,2017,7,18243320.0,2017,7,26
29,2,31,6667.0,23640.0,1920,2,13650000.0,103,2017,4,666723640.0,2017,4,27
4,0,4,1682.0,2700.0,1909,2,1320000.0,114,2017,2,16822700.0,2017,2,28
4,0,4,1682.0,2700.0,1909,2,180000.0,114,2017,2,16822700.0,2017,2,28
28,2,30,6300.0,17900.0,1909,2,6438317.0,114,2016,9,630017900.0,2016,9,29
5,0,5,1799.0,4603.0,1909,2,842500.0,114,2017,2,17994603.0,2017,2,15
4,0,4,1249.0,2058.0,1910,2,1431326.0,113,2017,8,12492058.0,2017,8,7
4,0,4,1271.0,5167.0,1910,2,2125000.0,113,2017,5,12715167.0,2017,5,15
4,0,4,2018.0,2994.0,1900,2,1100000.0,123,2017,1,20182994.0,2017,1,10
16,0,16,2629.0,8500.0,1900,2,4400000.0,123,2017,6,26298500.0,2017,6,6
6,0,6,2018.0,2994.0,1910,2,2150000.0,113,2016,11,20182994.0,2016,11,22
7,0,7,1873.0,2919.0,1909,2,1500000.0,114,2016,12,18732919.0,2016,12,5
4,0,4,1444.0,4408.0,1930,2,2675000.0,93,2017,5,14444408.0,2017,5,5
4,0,4,1700.0,4400.0,1909,2,2597000.0,114,2017,8,17004400.0,2017,8,11
4,0,4,1848.0,2585.0,1900,2,3250000.0,123,2017,4,18482585.0,2017,4,13
4,0,4,2498.0,7230.0,1900,2,2450000.0,123,2016,9,24987230.0,2016,9,21
4,0,4,1231.0,4140.0,1910,2,2165000.0,113,2017,4,12314140.0,2017,4,3
24,0,24,3797.0,15006.0,1926,2,4433033.0,97,2016,9,379715006.0,2016,9,29
10,0,10,2523.0,8525.0,1900,2,3000000.0,123,2016,9,25238525.0,2016,9,8
8,0,8,2153.0,3424.0,1900,2,1506000.0,123,2016,12,21533424.0,2016,12,28
9,0,9,1413.0,3750.0,1900,2,2000000.0,123,2017,3,14133750.0,2017,3,20
8,0,8,1716.0,3213.0,1890,2,1300000.0,133,2017,5,17163213.0,2017,5,30
4,0,4,1716.0,2550.0,1910,2,2298307.0,113,2017,5,17162550.0,2017,5,19
4,0,4,2018.0,3668.0,1929,2,2795000.0,94,2017,3,20183668.0,2017,3,17
23,4,27,7200.0,21340.0,1910,2,5128650.0,113,2016,9,720021340.0,2016,9,29
7,0,7,1917.0,3806.0,1910,2,1900000.0,113,2016,9,19173806.0,2016,9,7
11,1,12,1500.0,5200.0,1910,2,925000.0,113,2016,12,15005200.0,2016,12,2
4,0,4,1682.0,4070.0,1910,2,2820000.0,113,2016,10,16824070.0,2016,10,14
11,0,11,1499.0,2286.0,1910,2,3003837.0,113,2017,2,14992286.0,2017,2,8
2,0,2,1557.0,2343.0,1910,2,2525000.0,113,2016,10,15572343.0,2016,10,25
4,0,4,2498.0,4800.0,1910,2,3760000.0,113,2016,11,24984800.0,2016,11,29
8,0,8,1873.0,2700.0,1910,2,1575000.0,113,2016,9,18732700.0,2016,9,15
4,0,4,1665.0,2497.0,1910,2,1600000.0,113,2017,3,16652497.0,2017,3,24
11,0,11,1749.0,2625.0,1910,2,20000.0,113,2016,9,17492625.0,2016,9,17
6,0,6,1998.0,3025.0,1939,2,1525000.0,84,2017,3,19983025.0,2017,3,31
5,0,5,1665.0,3334.0,1910,2,2000000.0,113,2017,5,16653334.0,2017,5,25
11,0,11,1499.0,2250.0,1910,2,725000.0,113,2017,3,14992250.0,2017,3,16
7,0,7,1682.0,2561.0,1910,2,530000.0,113,2017,3,16822561.0,2017,3,23
11,0,11,1499.0,2025.0,1910,2,3350000.0,113,2017,5,14992025.0,2017,5,25
11,0,11,1499.0,2025.0,1910,2,1339325.0,113,2017,5,14992025.0,2017,5,19
7,0,7,1699.0,2550.0,1910,2,1365000.0,113,2016,10,16992550.0,2016,10,11
4,0,4,1665.0,4290.0,1910,2,2100000.0,113,2017,5,16654290.0,2017,5,3
6,0,6,1599.0,2400.0,1910,2,1300000.0,113,2017,2,15992400.0,2017,2,21
